Question,Variable Name,Variable Value,Frequency,Percentage
Q11,"Geographical focus (Global, Regional or National/local)",National/local,24,47.1%
Q11,"Geographical focus (Global, Regional or National/local)",Global,20,39.2%
Q11,"Geographical focus (Global, Regional or National/local)",Regional,7,13.7%
Q11,Specify name of the Region/country,Global,20,39.2%
Q11,Specify name of the Region/country,Asia and the Pacific,12,23.5%
Q11,Specify name of the Region/country,Arab States,7,13.7%
Q11,Specify name of the Region/country,Europe and Central Asia,6,11.8%
Q11,Specify name of the Region/country,Americas,4,7.8%
